ciudad,dia_semana,nombre_dia,hora,CO,NO2,O3,PM25,SO2
CDMX,2,Wednesday,14,0.24190039960876958,0.013463857233234842,0.06766864316081614,20.203470263915175,0.002457987465543097
CDMX,2,Wednesday,15,0.23424508058090707,0.013433416446505182,0.06474718012430167,19.64101259793984,0.0024755654520133884
CDMX,2,Wednesday,16,0.24776638335027584,0.014714287539634304,0.0580125247991084,19.448257268121775,0.0024822423100379215
CDMX,2,Wednesday,17,0.2846571029365293,0.017329530554424984,0.04762498979471816,18.711866704737954,0.0024126762380386447
CDMX,2,Wednesday,18,0.3486605222167653,0.021225376290889733,0.036236647292353305,18.13436711912033,0.0022988062030455895
CDMX,2,Wednesday,19,0.38831422681505745,0.02338153956411122,0.028658662661723993,17.370714115112,0.002063085905475375
CDMX,2,Wednesday,20,0.4021930772130694,0.0244043085718698,0.02391632385435409,17.046614998236826,0.001979480822674806
CDMX,2,Wednesday,21,0.4047004837921345,0.024954065257834418,0.02049914432345644,16.886484178441318,0.0021258204047414388
CDMX,2,Wednesday,22,0.38803913858162503,0.024452267312080323,0.0184819664005419,16.694427651041295,0.0023836352258064016
CDMX,2,Wednesday,23,0.3481207802012711,0.023249971732288384,0.017633031080885382,16.404050278435978,0.0027078165126409805
CDMX,3,Thursday,0,0.3047614921045756,0.021345824600930652,0.017292195708996788,16.89517578725347,0.0027662094652809274
CDMX,3,Thursday,1,0.26433497519860577,0.019894244292760453,0.01663802669421346,16.92684422888108,0.0026914039131224277
CDMX,3,Thursday,2,0.23723139271580226,0.0190083770748001,0.015730132410358064,16.9594769379221,0.002609888589718215
CDMX,3,Thursday,3,0.22409196001876672,0.019037654726453794,0.014052454314811096,17.193297484756418,0.002654192792761439
CDMX,3,Thursday,4,0.26327319369005076,0.020956631166516835,0.011390564436214643,17.875649889797074,0.002622856055771907
CDMX,3,Thursday,5,0.40745547839879076,0.024369874798759395,0.008077715491023684,18.888199400520136,0.0027126716705869543
CDMX,3,Thursday,6,0.67734141938497,0.026979524519315984,0.006102375873667518,20.487950346679128,0.0029814350941168902
CDMX,3,Thursday,7,0.882871196089355,0.02789637868842405,0.007627388009993396,22.123285356503484,0.0037538237454647115
CDMX,3,Thursday,8,0.8013342220565132,0.029440375435450656,0.013552623648931715,23.832084928075282,0.0047445264672927095
CDMX,3,Thursday,9,0.6429870344486456,0.03032565063905738,0.023438686440958957,25.85916064409134,0.005038629462165983
CDMX,3,Thursday,10,0.5132890595801151,0.027992894281015052,0.03630633978491192,26.641423406120836,0.0045802147700418185
CDMX,3,Thursday,11,0.3945893744011906,0.02276750974663918,0.04974265329248393,25.60770578055906,0.0037382669515651956
CDMX,3,Thursday,12,0.3129207330057113,0.017914924075123472,0.06050154519178097,23.476882538554275,0.0029844463894393974
CDMX,3,Thursday,13,0.26608101179228205,0.014902585434514237,0.06680114092300103,21.66735199978946,0.0026058832140244703
CDMX,3,Thursday,14,0.24159064838586425,0.01349173998869899,0.0680118805362355,20.154258983543084,0.002435791158946248
CDMX,3,Thursday,15,0.2364265007078833,0.0135072516837436,0.06466387778178743,19.52956884550511,0.0023804032908106634
CDMX,3,Thursday,16,0.2466384354523782,0.014675721180305861,0.05778059691362715,18.690719628954923,0.0023582381839998365
CDMX,3,Thursday,17,0.28504495179964734,0.017385384907837944,0.04804071499212926,18.470946507761035,0.0023521223461292233
CDMX,3,Thursday,18,0.3512476855886588,0.021667402632963864,0.0361988769590048,18.282176883094998,0.0022700249690033683
CDMX,3,Thursday,19,0.3813280291238595,0.023411307098939616,0.028600872350460306,17.773607353584936,0.002125279400678658
CDMX,3,Thursday,20,0.39407351881858493,0.024164340688766682,0.02384399357471782,17.219926128628224,0.002178632593616255
CDMX,3,Thursday,21,0.3982343551056727,0.02464904865352159,0.02048552698049194,17.037893170209635,0.0023929362245765076
CDMX,3,Thursday,22,0.38824238965949387,0.024439706784620333,0.018222462054173647,16.969588057429682,0.0026020192587043888
CDMX,3,Thursday,23,0.3544210830269476,0.02329888969404692,0.01698627880701835,16.61710224697218,0.0029163064799386297
CDMX,4,Friday,0,0.306409495635973,0.02176195814381833,0.01607196837586958,16.887320647205527,0.0030855016382338096
CDMX,4,Friday,1,0.2647036783494537,0.02050942835225396,0.015278316418684709,17.00061027983611,0.003092241396016757
CDMX,4,Friday,2,0.24080062212954292,0.019670676820546674,0.014366439104953454,16.955658276396417,0.0032228716145681416
CDMX,4,Friday,3,0.23658914720842458,0.01946804771604483,0.013403524640656176,17.323672268201822,0.003009750095870557
CDMX,4,Friday,4,0.2766484146816416,0.021245200024038666,0.010898776043368535,18.261793162095195,0.0028916008918833916
CDMX,4,Friday,5,0.4188049001245199,0.024383660317610835,0.007768046556882867,19.324652603626216,0.0029674237743222112
CDMX,4,Friday,6,0.6771797766082597,0.02684083707164119,0.005803259991867201,21.076459845028133,0.0031591331309493336
CDMX,4,Friday,7,0.8665132448551054,0.02757361937475037,0.007465904970441939,22.425810872331905,0.00381631334983767
CDMX,4,Friday,8,0.7783415682223855,0.028987730253039724,0.013558685217802725,23.819502345219846,0.0047266729475751714
CDMX,4,Friday,9,0.6229208350216199,0.02976593132061341,0.023472092485425294,25.548563934878924,0.004887475737961156
CDMX,4,Friday,10,0.49419333550907896,0.02720818823282663,0.036253154848129555,25.969331231569676,0.0043074755308791434
CDMX,4,Friday,11,0.3903183155197642,0.022564441199676273,0.04915393486655094,25.194168079886115,0.003520250635821487
CDMX,4,Friday,12,0.3115031619791985,0.01802511692104275,0.05972181634724122,23.391760732193458,0.002950587300870818
CDMX,4,Friday,13,0.2676474525118974,0.015016774402767268,0.06624450011572434,21.58049232057853,0.002580591186461627
CDMX,4,Friday,14,0.24661094278224435,0.013769771849758227,0.0677775236933638,20.465677147132876,0.0025066414486268973
CDMX,4,Friday,15,0.24258263330959473,0.013828547546931979,0.06493456369615923,19.837381309372518,0.002498153366266409
CDMX,4,Friday,16,0.25867537287383424,0.015111915772911095,0.058124035795249225,19.311004419853305,0.0023824373227447617
CDMX,4,Friday,17,0.2990726435765546,0.01797341195822254,0.04735578517693009,18.61481479373147,0.0023607602150402954
CDMX,4,Friday,18,0.35699172115986383,0.021504953197113468,0.03568095449626189,18.020803938343793,0.002324846222385734
CDMX,4,Friday,19,0.39824809598257155,0.0235917574170627,0.02802890616114898,17.403401460153443,0.0022503145160465633
CDMX,4,Friday,20,0.41834880864944307,0.024754565317429634,0.022977826731585823,17.01494923473723,0.0022792495562152537
CDMX,4,Friday,21,0.42499773790441087,0.02535383543651003,0.019493556788947607,16.88429959441489,0.0025072184395842634
CDMX,4,Friday,22,0.4207721556201634,0.025245128342295326,0.017142158433504053,17.005520369838365,0.0027864256806476905
CDMX,4,Friday,23,0.4046026188450986,0.024866349885917582,0.015393653579572626,16.943959599799694,0.0031604531747681354
CDMX,5,Saturday,0,0.3774100140191913,0.02372445660285262,0.014314426153016363,17.633757112396665,0.0033249595467838722
CDMX,5,Saturday,1,0.34546400638408675,0.02242633823060164,0.013609697865009223,18.054483749435885,0.003435071192056552
CDMX,5,Saturday,2,0.31228520728501447,0.021337129353096847,0.012816583200947357,18.325821668403783,0.0034898299635509763
CDMX,5,Saturday,3,0.2927274675945617,0.020641503588855,0.012059930871161046,18.514935909503276,0.003243775834763232
CDMX,5,Saturday,4,0.3203176146132891,0.02169389605200409,0.010072715405296737,19.0190271343144,0.003220708124302887
CDMX,5,Saturday,5,0.4134368652615007,0.023619705763217255,0.007784860106565275,19.950127938052745,0.00326642087716822
CDMX,5,Saturday,6,0.5805739394043747,0.02546779051443923,0.006148951636449449,21.274909111293937,0.0033671347846870076
CDMX,5,Saturday,7,0.7149476859098672,0.026305670837315852,0.007701234683774281,23.14894448602324,0.0040742788890074655
CDMX,5,Saturday,8,0.6628834568624304,0.027575425562429836,0.014089897077639241,25.007300424949264,0.0054056728075686416
CDMX,5,Saturday,9,0.5471358881438388,0.027848587979930332,0.024480100111097015,27.386170379489567,0.005760111455000288
CDMX,5,Saturday,10,0.44543861404952395,0.025426932262460917,0.037682723753533695,28.12621238478192,0.00523389646041239
CDMX,5,Saturday,11,0.349155388737518,0.020715810454932437,0.051336288513050256,26.871542630484484,0.0041733581990431295
CDMX,5,Saturday,12,0.27658350069595583,0.016102701378532674,0.06210895909556484,24.392821131926947,0.003320846814077681
CDMX,5,Saturday,13,0.23556379827190585,0.013192326142876892,0.06820019307106802,22.53253017860861,0.002896022494997091
CDMX,5,Saturday,14,0.21768493214113643,0.011907763339146822,0.06965704108673951,21.008231031394356,0.0027322845775492022
CDMX,5,Saturday,15,0.2136993229106773,0.011753482475257843,0.06724832222397407,20.00477405266959,0.0027020546825872274
CDMX,5,Saturday,16,0.2221159239688833,0.012528055318211231,0.0606015296791999,19.38752859153468,0.0026178451909908192
CDMX,5,Saturday,17,0.2509783831757442,0.014576140050778362,0.050899708354649326,18.888921365536078,0.0026080029776439687
CDMX,5,Saturday,18,0.30202888437812075,0.017988235098856765,0.03988441243415763,18.62749322766404,0.002383605190981824
CDMX,5,Saturday,19,0.340388375299383,0.020118468171939255,0.03183923033815471,18.218817073059363,0.002042036858193669
CDMX,5,Saturday,20,0.3576654420801309,0.021090461454852563,0.02681400527257538,17.5577253514173,0.001988644223696155
CDMX,5,Saturday,21,0.376195519965592,0.021903607465780676,0.02309713397320619,17.370341209025778,0.0021438917017667877
CDMX,5,Saturday,22,0.3868844044312556,0.022346756910767655,0.02020367124739237,17.511623533742853,0.0024009395868908787
CDMX,5,Saturday,23,0.38131763537817226,0.022281275216069936,0.018148669709761835,17.078003841506032,0.002705938445684005
