ciudad,contaminante,fecha,anio,mes,dia_semana,nombre_dia,semana,estacion_anio,valor
CDMX,CO,2019-04-22,2019,4,0,Monday,17,Primavera,0.4046120169082126
CDMX,CO,2019-04-23,2019,4,1,Tuesday,17,Primavera,0.4306461352657005
CDMX,CO,2019-04-24,2019,4,2,Wednesday,17,Primavera,0.3813463634795156
CDMX,CO,2019-04-25,2019,4,3,Thursday,17,Primavera,0.37354601919819314
CDMX,CO,2019-04-26,2019,4,4,Friday,17,Primavera,0.21958992094861662
CDMX,CO,2019-04-27,2019,4,5,Saturday,17,Primavera,0.3314613526570048
CDMX,CO,2019-04-28,2019,4,6,Sunday,17,Primavera,0.36508495278875713
CDMX,CO,2019-04-29,2019,4,0,Monday,18,Primavera,0.4970712560386474
CDMX,CO,2019-04-30,2019,4,1,Tuesday,18,Primavera,0.3968722551602986
CDMX,CO,2019-05-01,2019,5,2,Wednesday,18,Primavera,0.3200138026224983
CDMX,CO,2019-05-02,2019,5,3,Thursday,18,Primavera,0.28312952898550725
CDMX,CO,2019-05-03,2019,5,4,Friday,18,Primavera,0.42097675120772954
CDMX,CO,2019-05-04,2019,5,5,Saturday,18,Primavera,0.4365111714975845
CDMX,CO,2019-05-05,2019,5,6,Sunday,18,Primavera,0.3240187198067633
CDMX,CO,2019-05-06,2019,5,0,Monday,19,Primavera,0.371679430171278
CDMX,CO,2019-05-07,2019,5,1,Tuesday,19,Primavera,0.4751561757772938
CDMX,CO,2019-05-08,2019,5,2,Wednesday,19,Primavera,0.37737977602108036
CDMX,CO,2019-05-09,2019,5,3,Thursday,19,Primavera,0.40120078502415457
CDMX,CO,2019-05-10,2019,5,4,Friday,19,Primavera,0.41987228260869564
CDMX,CO,2019-05-11,2019,5,5,Saturday,19,Primavera,0.4734305555555556
CDMX,CO,2019-05-12,2019,5,6,Sunday,19,Primavera,0.4785332125603865
CDMX,CO,2019-05-13,2019,5,0,Monday,20,Primavera,0.47941919191919197
CDMX,CO,2019-05-14,2019,5,1,Tuesday,20,Primavera,0.4819402173913043
CDMX,CO,2019-05-15,2019,5,2,Wednesday,20,Primavera,0.3402688570487484
CDMX,CO,2019-05-16,2019,5,3,Thursday,20,Primavera,0.4138737922705314
CDMX,CO,2019-05-17,2019,5,4,Friday,20,Primavera,0.3509675559947299
CDMX,CO,2019-05-18,2019,5,5,Saturday,20,Primavera,0.2890516304347826
CDMX,CO,2019-05-19,2019,5,6,Sunday,20,Primavera,0.25750915750915754
CDMX,CO,2019-05-20,2019,5,0,Monday,21,Primavera,0.29360439892233375
CDMX,CO,2019-05-21,2019,5,1,Tuesday,21,Primavera,0.33602536020742546
CDMX,CO,2019-05-22,2019,5,2,Wednesday,21,Primavera,0.3636836297760211
CDMX,CO,2019-05-23,2019,5,3,Thursday,21,Primavera,0.3280338164251208
CDMX,CO,2019-05-24,2019,5,4,Friday,21,Primavera,0.28820954106280194
CDMX,CO,2019-05-25,2019,5,5,Saturday,21,Primavera,0.21005555555555558
CDMX,CO,2019-05-26,2019,5,6,Sunday,21,Primavera,0.13133333333333333
CDMX,CO,2019-05-27,2019,5,0,Monday,22,Primavera,0.24693085748792273
CDMX,CO,2019-05-28,2019,5,1,Tuesday,22,Primavera,0.30112983091787443
CDMX,CO,2019-05-29,2019,5,2,Wednesday,22,Primavera,0.29939583333333336
CDMX,CO,2019-05-30,2019,5,3,Thursday,22,Primavera,0.290786847512391
CDMX,CO,2019-05-31,2019,5,4,Friday,22,Primavera,0.254365863604994
CDMX,CO,2019-06-01,2019,6,5,Saturday,22,Verano,0.16966908212560386
CDMX,CO,2019-06-02,2019,6,6,Sunday,22,Verano,0.13460144927536233
CDMX,CO,2019-06-03,2019,6,0,Monday,23,Verano,0.20581357048748353
CDMX,CO,2019-06-04,2019,6,1,Tuesday,23,Verano,0.3195544340924776
CDMX,CO,2019-06-05,2019,6,2,Wednesday,23,Verano,0.36230536403591324
CDMX,CO,2019-06-06,2019,6,3,Thursday,23,Verano,0.3834767615366812
CDMX,CO,2019-06-07,2019,6,4,Friday,23,Verano,0.5538817663817664
CDMX,CO,2019-06-08,2019,6,5,Saturday,23,Verano,0.4599358974358974
CDMX,CO,2019-06-09,2019,6,6,Sunday,23,Verano,0.2094669990503324
CDMX,CO,2019-06-10,2019,6,0,Monday,24,Verano,0.20887329421115652
CDMX,CO,2019-06-11,2019,6,1,Tuesday,24,Verano,0.16035641954663693
CDMX,CO,2019-06-12,2019,6,2,Wednesday,24,Verano,0.2862777777777778
CDMX,CO,2019-06-13,2019,6,3,Thursday,24,Verano,0.2225658508158508
CDMX,CO,2019-06-14,2019,6,4,Friday,24,Verano,0.2391602564102564
CDMX,CO,2019-06-15,2019,6,5,Saturday,24,Verano,0.24381528964862298
CDMX,CO,2019-06-16,2019,6,6,Sunday,24,Verano,0.2664589268755935
CDMX,CO,2019-06-17,2019,6,0,Monday,25,Verano,0.2721010950268197
CDMX,CO,2019-06-18,2019,6,1,Tuesday,25,Verano,0.22123676511357668
CDMX,CO,2019-06-19,2019,6,2,Wednesday,25,Verano,0.29730531813865146
CDMX,CO,2019-06-20,2019,6,3,Thursday,25,Verano,0.40394705603038933
CDMX,CO,2019-06-21,2019,6,4,Friday,25,Verano,0.3325318138651472
CDMX,CO,2019-06-22,2019,6,5,Saturday,25,Verano,0.2773148148148148
CDMX,CO,2019-06-23,2019,6,6,Sunday,25,Verano,0.2550693257359924
CDMX,CO,2019-06-24,2019,6,0,Monday,26,Verano,0.38496714396714404
CDMX,CO,2019-06-25,2019,6,1,Tuesday,26,Verano,0.3910353260869565
CDMX,CO,2019-06-26,2019,6,2,Wednesday,26,Verano,0.46536006022962545
CDMX,CO,2019-06-27,2019,6,3,Thursday,26,Verano,0.22209442248572683
CDMX,CO,2019-06-28,2019,6,4,Friday,26,Verano,0.19728907867494824
CDMX,CO,2019-06-29,2019,6,5,Saturday,26,Verano,0.18164643327686805
CDMX,CO,2019-06-30,2019,6,6,Sunday,26,Verano,0.28326118326118327
CDMX,CO,2019-07-01,2019,7,0,Monday,27,Verano,0.28904303055618846
CDMX,CO,2019-07-02,2019,7,1,Tuesday,27,Verano,0.3888524815827447
CDMX,CO,2019-07-03,2019,7,2,Wednesday,27,Verano,0.33478535353535355
CDMX,CO,2019-07-04,2019,7,3,Thursday,27,Verano,0.4616161616161616
CDMX,CO,2019-07-05,2019,7,4,Friday,27,Verano,0.3492280891622997
CDMX,CO,2019-07-06,2019,7,5,Saturday,27,Verano,0.26423417851989284
CDMX,CO,2019-07-07,2019,7,6,Sunday,27,Verano,0.21883116883116882
CDMX,CO,2019-07-08,2019,7,0,Monday,28,Verano,0.37390512265512266
CDMX,CO,2019-07-09,2019,7,1,Tuesday,28,Verano,0.4310021801869628
CDMX,CO,2019-07-10,2019,7,2,Wednesday,28,Verano,0.2722222222222222
CDMX,CO,2019-07-11,2019,7,3,Thursday,28,Verano,0.3958098150789799
CDMX,CO,2019-07-12,2019,7,4,Friday,28,Verano,0.3314125094482237
CDMX,CO,2019-07-13,2019,7,5,Saturday,28,Verano,0.2879599567099567
CDMX,CO,2019-07-14,2019,7,6,Sunday,28,Verano,0.32729978354978356
CDMX,CO,2019-07-15,2019,7,0,Monday,29,Verano,0.3701185254803676
CDMX,CO,2019-07-16,2019,7,1,Tuesday,29,Verano,0.23161075036075038
CDMX,CO,2019-07-17,2019,7,2,Wednesday,29,Verano,0.3019639328063241
CDMX,CO,2019-07-18,2019,7,3,Thursday,29,Verano,0.30022490266476193
CDMX,CO,2019-07-19,2019,7,4,Friday,29,Verano,0.3230449879227053
CDMX,CO,2019-07-20,2019,7,5,Saturday,29,Verano,0.2783541941150637
CDMX,CO,2019-07-21,2019,7,6,Sunday,29,Verano,0.2674567883807014
CDMX,CO,2019-07-22,2019,7,0,Monday,30,Verano,0.3222322212811343
CDMX,CO,2019-07-23,2019,7,1,Tuesday,30,Verano,0.27995708339330466
CDMX,CO,2019-07-24,2019,7,2,Wednesday,30,Verano,0.35524603174603175
CDMX,CO,2019-07-25,2019,7,3,Thursday,30,Verano,0.40543931159420293
CDMX,CO,2019-07-26,2019,7,4,Friday,30,Verano,0.3585899758454106
CDMX,CO,2019-07-27,2019,7,5,Saturday,30,Verano,0.25982927097057534
CDMX,CO,2019-07-28,2019,7,6,Sunday,30,Verano,0.2220486111111111
CDMX,CO,2019-07-29,2019,7,0,Monday,31,Verano,0.38847441809398336
CDMX,CO,2019-07-30,2019,7,1,Tuesday,31,Verano,0.3231188459573553
CDMX,CO,2019-07-31,2019,7,2,Wednesday,31,Verano,0.29627731115502853
CDMX,CO,2019-08-01,2019,8,3,Thursday,31,Verano,0.26045666290231506
CDMX,CO,2019-08-02,2019,8,4,Friday,31,Verano,0.3020908816425121
CDMX,CO,2019-08-03,2019,8,5,Saturday,31,Verano,0.2585638998682477
CDMX,CO,2019-08-04,2019,8,6,Sunday,31,Verano,0.20551081466842336
CDMX,CO,2019-08-05,2019,8,0,Monday,32,Verano,0.3435669621383907
CDMX,CO,2019-08-06,2019,8,1,Tuesday,32,Verano,0.391269449149884
CDMX,CO,2019-08-07,2019,8,2,Wednesday,32,Verano,0.3405570652173913
CDMX,CO,2019-08-08,2019,8,3,Thursday,32,Verano,0.32071256038647344
CDMX,CO,2019-08-09,2019,8,4,Friday,32,Verano,0.37086744776962166
CDMX,CO,2019-08-10,2019,8,5,Saturday,32,Verano,0.2134183841520798
CDMX,CO,2019-08-11,2019,8,6,Sunday,32,Verano,0.2630205415499533
CDMX,CO,2019-08-12,2019,8,0,Monday,33,Verano,0.28293494152046783
CDMX,CO,2019-08-13,2019,8,1,Tuesday,33,Verano,0.32317147034252297
CDMX,CO,2019-08-14,2019,8,2,Wednesday,33,Verano,0.3105759189640769
CDMX,CO,2019-08-15,2019,8,3,Thursday,33,Verano,0.28958333333333336
CDMX,CO,2019-08-16,2019,8,4,Friday,33,Verano,0.2972222222222222
CDMX,CO,2019-08-17,2019,8,5,Saturday,33,Verano,0.3506062233505843
CDMX,CO,2019-08-18,2019,8,6,Sunday,33,Verano,0.3602272727272727
CDMX,CO,2019-08-19,2019,8,0,Monday,34,Verano,0.22902146464646467
CDMX,CO,2019-08-20,2019,8,1,Tuesday,34,Verano,0.2072871572871573
CDMX,CO,2019-08-21,2019,8,2,Wednesday,34,Verano,0.26626317523056653
CDMX,CO,2019-08-22,2019,8,3,Thursday,34,Verano,0.3187231686759719
CDMX,CO,2019-08-23,2019,8,4,Friday,34,Verano,0.4071345029239766
CDMX,CO,2019-08-24,2019,8,5,Saturday,34,Verano,0.3672916666666666
CDMX,CO,2019-08-25,2019,8,6,Sunday,34,Verano,0.3364583333333333
CDMX,CO,2019-08-26,2019,8,0,Monday,35,Verano,0.43122807017543857
CDMX,CO,2019-08-27,2019,8,1,Tuesday,35,Verano,0.4002558479532164
CDMX,CO,2019-08-28,2019,8,2,Wednesday,35,Verano,0.22707240425409933
CDMX,CO,2019-08-29,2019,8,3,Thursday,35,Verano,0.3056797719087635
CDMX,CO,2019-08-30,2019,8,4,Friday,35,Verano,0.3592677696078432
CDMX,CO,2019-08-31,2019,8,5,Saturday,35,Verano,0.2573611111111111
CDMX,CO,2019-09-01,2019,9,6,Sunday,35,Otoño,0.2174172794117647
CDMX,CO,2019-09-02,2019,9,0,Monday,36,Otoño,0.2595894607843137
CDMX,CO,2019-09-03,2019,9,1,Tuesday,36,Otoño,0.21472120098039216
CDMX,CO,2019-09-04,2019,9,2,Wednesday,36,Otoño,0.3781084057554646
CDMX,CO,2019-09-05,2019,9,3,Thursday,36,Otoño,0.344489522417154
CDMX,CO,2019-09-06,2019,9,4,Friday,36,Otoño,0.2602380952380952
CDMX,CO,2019-09-07,2019,9,5,Saturday,36,Otoño,0.30818001443001447
CDMX,CO,2019-09-08,2019,9,6,Sunday,36,Otoño,0.2660263347763348
CDMX,CO,2019-09-09,2019,9,0,Monday,37,Otoño,0.33281878939773674
CDMX,CO,2019-09-10,2019,9,1,Tuesday,37,Otoño,0.349666477702192
CDMX,CO,2019-09-11,2019,9,2,Wednesday,37,Otoño,0.30405701754385966
CDMX,CO,2019-09-12,2019,9,3,Thursday,37,Otoño,0.2639452798663325
CDMX,CO,2019-09-13,2019,9,4,Friday,37,Otoño,0.269375
CDMX,CO,2019-09-14,2019,9,5,Saturday,37,Otoño,0.1897727272727273
CDMX,CO,2019-09-15,2019,9,6,Sunday,37,Otoño,0.18627150262018685
CDMX,CO,2019-09-16,2019,9,0,Monday,38,Otoño,0.2070369104579631
CDMX,CO,2019-09-17,2019,9,1,Tuesday,38,Otoño,0.35027958152958155
CDMX,CO,2019-09-18,2019,9,2,Wednesday,38,Otoño,0.27374329474872955
CDMX,CO,2019-09-19,2019,9,3,Thursday,38,Otoño,0.5007987483530961
CDMX,CO,2019-09-20,2019,9,4,Friday,38,Otoño,0.5055508501160676
