ciudad,fecha,anio,mes,dia_semana,nombre_dia,semana,estacion_anio,CO,NO2,O3,PM25,SO2
Guadalajara,2021-07-21,2021,7,2,Wednesday,29,Verano,0.6661458333333333,0.021229166666666664,0.020220238095238097,14.782608695652174,0.0016785714285714288
Guadalajara,2021-07-22,2021,7,3,Thursday,29,Verano,0.5521354166666667,0.01755,0.022273809523809526,19.238095238095237,0.0015892857142857143
Guadalajara,2021-07-23,2021,7,4,Friday,29,Verano,0.5016145833333333,0.018989583333333334,0.02631944444444444,10.478260869565217,0.0012833333333333334
Guadalajara,2021-07-24,2021,7,5,Saturday,29,Verano,0.8289583333333334,0.027819444444444442,0.03014285714285714,15.35,0.0017261904761904764
Guadalajara,2021-07-25,2021,7,6,Sunday,29,Verano,0.5108333333333334,0.019333333333333334,0.031017857142857142,10.11111111111111,0.0014791666666666668
Guadalajara,2021-07-26,2021,7,0,Monday,30,Verano,0.5061309523809524,0.023854166666666666,0.03147023809523809,12.476190476190476,0.0013214285714285715
Guadalajara,2021-07-27,2021,7,1,Tuesday,30,Verano,0.46476190476190476,0.017249999999999998,0.03638888888888889,9.473684210526315,0.0012430555555555556
Guadalajara,2021-07-28,2021,7,2,Wednesday,30,Verano,0.5576785714285714,0.0205,0.030904761904761904,9.631578947368421,0.0012569444444444444
Guadalajara,2021-07-29,2021,7,3,Thursday,30,Verano,0.6664583333333334,0.021416666666666667,0.019827380952380954,12.4,0.0010625
Guadalajara,2021-07-30,2021,7,4,Friday,30,Verano,0.5377083333333333,0.018395833333333333,0.021327380952380955,,0.0011416666666666667
Guadalajara,2021-07-31,2021,7,5,Saturday,30,Verano,0.5301388888888888,0.01254861111111111,0.020523809523809524,6.571428571428571,0.000986111111111111
Guadalajara,2021-08-01,2021,8,6,Sunday,30,Verano,0.5688095238095238,0.014194444444444445,0.030682291666666667,9.636363636363637,0.0008571428571428572
Guadalajara,2021-08-02,2021,8,0,Monday,31,Verano,0.6668452380952381,0.01623611111111111,0.028755208333333334,9.95,0.001325
Guadalajara,2021-08-03,2021,8,1,Tuesday,31,Verano,0.6110416666666666,0.01570138888888889,0.025354166666666667,11.727272727272727,0.001388888888888889
Guadalajara,2021-08-04,2021,8,2,Wednesday,31,Verano,0.6123214285714286,0.018256944444444444,0.017635416666666667,12.052631578947368,0.0010595238095238095
Guadalajara,2021-08-05,2021,8,3,Thursday,31,Verano,0.6651785714285715,0.022927083333333334,0.015934523809523808,13.333333333333334,0.0010416666666666667
Guadalajara,2021-08-06,2021,8,4,Friday,31,Verano,0.5791071428571428,0.01570138888888889,0.022148809523809525,9.9,0.0012083333333333334
Guadalajara,2021-08-07,2021,8,5,Saturday,31,Verano,0.6272916666666667,0.01563541666666667,0.020354166666666666,21.545454545454547,0.0011833333333333333
Guadalajara,2021-08-08,2021,8,6,Sunday,31,Verano,0.579047619047619,0.01311111111111111,0.02030952380952381,15.7,0.0008611111111111111
Guadalajara,2021-08-09,2021,8,0,Monday,32,Verano,0.4632638888888889,0.012283333333333334,0.01788690476190476,,0.0011083333333333333
Guadalajara,2021-08-10,2021,8,1,Tuesday,32,Verano,0.5100595238095238,0.015666666666666666,0.020916666666666667,,0.0012250000000000002
